Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,mins_per_chance,on_target,shots,bct,goals,bcc,ccib,ccob,cc
1,Leicester City,38,23,12,3,68,36,32,81,6.9,178,34.1,97,13,49,316,203,518
2,Arsenal,38,20,11,7,65,36,29,71,6.3,202,35.4,107,11.4,37,232,221,450
3,Tottenham Hotspur,38,19,13,6,69,35,34,70,5.5,248,37.7,82,10.5,43,245,178,422
4,Manchester City,38,19,9,10,71,41,30,66,5.9,208,33.8,78,11.5,55,202,135,337
5,Manchester United,38,19,9,10,49,35,14,66,8.4,143,33.3,59,11.4,51,266,148,411
6,Southampton,38,18,9,11,59,41,18,63,7,161,31,73,11.4,58,263,201,462
7,West Ham United,38,16,14,8,65,51,14,62,6.5,180,32.3,67,11.6,69,305,217,521
8,Liverpool,38,16,12,10,63,50,13,60,5.7,198,31.5,65,10,42,227,173,399
9,Stoke City,38,14,9,15,41,55,?14,51,8.6,126,30.1,60,9.8,67,318,218,535
10,Chelsea,38,12,14,12,59,53,6,50,6.9,168,32,59,11.2,55,271,216,483
11,Everton,38,11,14,13,59,55,4,47,7.4,171,34.8,80,12,62,334,223,554
12,Swansea City,38,12,11,15,42,52,?10,47,8.2,135,30.6,47,9.5,65,319,203,521
13,Watford,38,12,9,17,40,50,?10,45,8.1,136,30.5,51,9,66,296,207,500
14,West Bromwich Albion,38,10,13,15,34,48,?14,43,9.3,102,26.2,42,8.7,59,294,255,547
15,Crystal Palace,38,11,9,18,39,51,?12,42,7.7,148,31.6,54,8.3,55,298,271,568
16,Bournemouth,38,11,9,18,45,67,?22,42,7.8,138,29.7,44,9.7,74,265,175,438
17,Sunderland,38,9,12,17,48,62,?14,39,8.2,137,31.2,48,10.9,67,333,242,571
18,Newcastle United,38,9,10,19,44,65,?21,37,9.1,148,37.3,42,11.1,60,315,238,552
19,Norwich City,38,9,7,22,39,67,?28,34,8.6,121,28.9,48,9.3,80,315,176,490
20,Aston Villa,38,3,8,27,27,76,?49,17,9.5,108,28.4,28,7.1,77,316,187,500
