Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,mins_per_chance,on_target,shots,bct,goals,bcc,ccib,ccob,cc
1,Manchester City,38,27,5,6,102,37,65,86,5.4,232,34.5,111,15.2,50,171,192,358
2,Liverpool,38,26,6,6,101,50,51,84,5.5,257,39.5,120,15.5,47,251,233,479
3,Chelsea,38,25,7,6,71,27,44,82,5.2,222,32.1,79,10.3,33,207,188,393
4,Arsenal,38,24,7,7,68,41,27,79,6.9,205,39.2,85,13,57,233,219,452
5,Everton,38,21,9,8,61,39,22,72,6.4,194,34.6,55,10.9,52,264,231,492
6,Tottenham Hotspur,38,21,6,11,55,51,4,69,6.1,189,32.2,92,9.4,60,254,175,424
7,Manchester United,38,19,7,12,64,43,21,64,6.8,179,34,77,12.2,48,248,206,453
8,Southampton,38,15,11,12,54,46,8,56,6.8,175,32.8,66,10.1,52,211,157,365
9,Stoke City,38,13,11,14,45,52,?7,50,8.5,134,31.4,60,10.5,72,292,258,548
10,Newcastle United,38,15,4,19,43,59,?16,49,6.2,178,30.7,68,7.4,88,301,186,485
11,Crystal Palace,38,13,6,19,33,48,?15,45,8.7,139,33.6,44,8,61,307,223,529
12,Swansea City,38,11,9,18,54,54,0,42,7.3,159,32.1,43,10.9,59,276,214,481
13,West Ham United,38,11,7,20,40,51,?11,40,8.5,119,28.2,50,9.5,64,363,317,677
14,Sunderland,38,10,8,20,41,60,?19,38,7.4,137,27.9,52,8.4,69,313,322,635
15,Aston Villa,38,10,8,20,39,61,?22,38,8.4,131,30.4,46,9,64,277,217,493
16,Hull City,38,10,7,21,38,53,?15,37,8.4,130,30.4,47,8.9,49,289,246,532
17,West Bromwich Albion,38,7,15,16,43,59,?16,36,7.4,139,28.6,53,8.8,53,255,241,494
18,Norwich City,38,8,9,21,28,62,?34,33,7.7,143,30.6,48,6,72,336,246,582
19,Fulham,38,9,5,24,40,85,?45,32,8.3,143,33.2,63,9.3,87,391,282,671
20,Cardiff City,38,7,9,22,32,74,?42,30,8.6,122,29.2,45,7.7,81,398,296,692
