Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,mins_per_chance,on_target,shots,bct,goals,bcc,ccib,ccob,cc
1,Chelsea,38,26,9,3,73,32,41,87,6.4,205,36.3,86,12.9,35,208,208,415
2,Manchester City,38,24,7,7,83,38,45,79,5.4,226,33.7,89,12.4,61,214,174,387
3,Arsenal,38,22,9,7,71,36,35,75,5.9,226,37,91,11.6,46,241,167,406
4,Manchester United,38,20,10,8,62,37,25,70,7.1,174,34,75,12.1,52,247,136,381
5,Tottenham Hotspur,38,19,7,12,58,53,5,64,6.9,168,31.9,72,11,74,335,157,490
6,Liverpool,38,18,8,12,52,48,4,62,6.1,190,32.2,59,8.8,50,216,203,415
7,Southampton,38,18,6,14,54,33,21,60,7.1,162,31.8,69,10.6,52,230,160,385
8,Swansea City,38,16,8,14,46,49,?3,56,8.5,141,33.1,58,10.8,67,311,246,554
9,Stoke City,38,15,9,14,48,45,3,54,7.2,133,26.5,55,9.6,55,253,203,455
10,Crystal Palace,38,13,9,16,47,51,?4,48,8.2,137,31,52,10.6,47,282,245,526
11,Everton,38,12,11,15,48,50,?2,47,7.5,162,33.5,61,9.9,54,273,232,503
12,West Ham United,38,12,11,15,44,47,?3,47,7.4,148,30.3,56,9,64,338,251,588
13,West Bromwich Albion,38,11,11,16,38,51,?13,44,8.7,130,31.6,42,9.2,58,290,258,547
14,Leicester City,38,11,8,19,46,55,?9,41,7.9,134,29.3,70,10.1,72,319,240,558
15,Newcastle United,38,10,9,19,40,63,?23,39,7.7,138,29.5,55,8.5,72,277,169,446
16,Sunderland,38,7,17,14,31,53,?22,38,8.8,127,31.1,39,7.6,50,332,295,626
17,Aston Villa,38,10,8,20,31,57,?26,38,8.6,124,29.7,35,7.4,63,294,186,480
18,Hull City,38,8,11,19,33,51,?18,35,8.4,127,29.6,37,7.7,49,280,224,503
19,Burnley,38,7,12,19,28,53,?25,33,8.4,123,28.6,41,6.5,58,329,266,594
20,Queens Park Rangers,38,8,6,24,42,73,?31,30,6.8,144,27,59,7.9,75,389,235,621
